State,Season,Temperature,Rainfall,N,P,K,PH,Crop
Uttar Pradesh,Kharif,32.0,850.0,90,40,60,6.8,Rice
Uttar Pradesh,Kharif,31.5,720.0,85,38,58,6.7,Maize
Uttar Pradesh,Kharif,30.0,680.0,50,30,40,6.6,Arhar
Uttar Pradesh,Kharif,29.5,650.0,45,28,38,6.5,Moong
Uttar Pradesh,Kharif,29.0,640.0,42,26,36,6.5,Urad
Uttar Pradesh,Kharif,30.5,700.0,60,35,45,6.6,Groundnut
Uttar Pradesh,Kharif,31.0,710.0,65,36,48,6.6,Soybean
Uttar Pradesh,Kharif,32.5,730.0,75,38,55,6.7,Cotton
Uttar Pradesh,Kharif,30.0,690.0,55,32,42,6.6,Bajra
Uttar Pradesh,Kharif,30.5,670.0,58,33,44,6.6,Jowar
Uttar Pradesh,Rabi,22.0,180.0,80,35,55,6.5,Wheat
Uttar Pradesh,Rabi,21.5,160.0,72,32,50,6.4,Barley
Uttar Pradesh,Rabi,22.5,170.0,65,30,48,6.4,Mustard
Uttar Pradesh,Rabi,21.0,150.0,60,28,45,6.3,Gram
Uttar Pradesh,Rabi,20.5,140.0,55,26,42,6.3,Peas
Uttar Pradesh,Rabi,23.0,190.0,90,40,60,6.5,Potato
Uttar Pradesh,Rabi,22.5,185.0,85,38,58,6.5,Onion
Uttar Pradesh,Rabi,21.0,160.0,62,30,48,6.4,Lentil
Uttar Pradesh,Rabi,22.0,170.0,68,32,50,6.4,Rapeseed
Uttar Pradesh,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Uttar Pradesh,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Uttar Pradesh,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Uttar Pradesh,Zaid,28.5,88.0,66,31,51,6.5,Bottle Gourd
Uttar Pradesh,Zaid,29.0,92.0,64,30,49,6.5,Bitter Gourd
Uttar Pradesh,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Uttar Pradesh,Zaid,28.5,89.0,60,28,46,6.5,Okra
Punjab,Kharif,33.0,780.0,88,42,62,6.7,Rice
Punjab,Kharif,32.5,620.0,75,36,55,6.6,Cotton
Punjab,Kharif,31.5,640.0,82,38,58,6.6,Maize
Punjab,Kharif,30.5,610.0,65,34,50,6.5,Groundnut
Punjab,Kharif,31.0,600.0,58,32,48,6.5,Bajra
Punjab,Rabi,23.0,190.0,78,34,54,6.5,Wheat
Punjab,Rabi,22.5,180.0,72,32,50,6.4,Barley
Punjab,Rabi,22.0,175.0,65,30,48,6.4,Mustard
Punjab,Rabi,21.5,170.0,60,28,45,6.3,Gram
Punjab,Rabi,21.0,165.0,55,26,42,6.3,Peas
Punjab,Zaid,29.0,90.0,68,33,51,6.5,Watermelon
Punjab,Zaid,29.5,92.0,70,34,52,6.5,Muskmelon
Punjab,Zaid,28.5,88.0,66,31,50,6.5,Cucumber
Punjab,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Haryana,Kharif,32.0,620.0,90,40,60,6.8,Rice
Haryana,Kharif,33.0,580.0,75,36,55,6.7,Cotton
Haryana,Kharif,31.5,600.0,82,38,58,6.6,Maize
Haryana,Kharif,30.5,590.0,65,34,50,6.5,Groundnut
Haryana,Kharif,31.0,610.0,58,32,48,6.5,Bajra
Haryana,Rabi,22.5,180.0,80,35,55,6.5,Wheat
Haryana,Rabi,22.0,175.0,72,32,50,6.4,Barley
Haryana,Rabi,21.5,170.0,65,30,48,6.4,Mustard
Haryana,Rabi,21.0,165.0,60,28,45,6.3,Gram
Haryana,Rabi,21.0,160.0,55,26,42,6.3,Peas
Haryana,Zaid,29.0,90.0,68,33,51,6.5,Watermelon
Haryana,Zaid,29.5,92.0,70,34,52,6.5,Muskmelon
Haryana,Zaid,28.5,88.0,66,31,50,6.5,Cucumber
Haryana,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Madhya Pradesh,Kharif,32.0,820.0,90,40,60,6.8,Rice
Madhya Pradesh,Kharif,31.5,780.0,85,38,58,6.7,Maize
Madhya Pradesh,Kharif,30.5,760.0,88,42,62,6.7,Soybean
Madhya Pradesh,Kharif,32.5,790.0,75,36,55,6.6,Cotton
Madhya Pradesh,Kharif,30.0,740.0,65,34,50,6.6,Groundnut
Madhya Pradesh,Kharif,30.5,720.0,58,32,48,6.5,Bajra
Madhya Pradesh,Kharif,31.0,700.0,60,30,46,6.5,Jowar
Madhya Pradesh,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Madhya Pradesh,Rabi,21.5,180.0,72,32,50,6.4,Barley
Madhya Pradesh,Rabi,21.0,170.0,60,28,45,6.3,Gram
Madhya Pradesh,Rabi,22.5,175.0,65,30,48,6.4,Mustard
Madhya Pradesh,Rabi,21.0,165.0,55,26,42,6.3,Peas
Madhya Pradesh,Rabi,21.5,170.0,62,30,48,6.4,Lentil
Madhya Pradesh,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Madhya Pradesh,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Madhya Pradesh,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Madhya Pradesh,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Rajasthan,Kharif,30.5,540.0,65,34,50,6.5,Bajra
Rajasthan,Kharif,32.0,580.0,75,36,55,6.6,Cotton
Rajasthan,Kharif,31.5,560.0,82,38,58,6.6,Maize
Rajasthan,Kharif,30.0,550.0,60,30,46,6.5,Groundnut
Rajasthan,Kharif,30.5,530.0,58,32,48,6.5,Jowar
Rajasthan,Rabi,22.0,170.0,80,35,55,6.5,Wheat
Rajasthan,Rabi,21.5,160.0,72,32,50,6.4,Barley
Rajasthan,Rabi,21.0,150.0,60,28,45,6.3,Mustard
Rajasthan,Rabi,22.5,165.0,65,30,48,6.4,Gram
Rajasthan,Rabi,21.0,160.0,55,26,42,6.3,Peas
Rajasthan,Rabi,21.5,170.0,62,30,48,6.4,Lentil
Rajasthan,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Rajasthan,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Rajasthan,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Rajasthan,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Maharashtra,Kharif,31.5,780.0,88,42,62,6.7,Rice
Maharashtra,Kharif,32.0,820.0,90,40,60,6.8,Cotton
Maharashtra,Kharif,30.5,760.0,85,38,58,6.7,Soybean
Maharashtra,Kharif,30.0,740.0,65,34,50,6.6,Groundnut
Maharashtra,Kharif,31.0,700.0,60,30,46,6.5,Maize
Maharashtra,Kharif,32.5,850.0,120,50,80,6.8,Sugarcane
Maharashtra,Kharif,30.5,720.0,58,32,48,6.5,Jowar
Maharashtra,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Maharashtra,Rabi,21.5,180.0,72,32,50,6.4,Barley
Maharashtra,Rabi,21.0,170.0,60,28,45,6.3,Gram
Maharashtra,Rabi,22.5,175.0,65,30,48,6.4,Mustard
Maharashtra,Rabi,21.0,160.0,55,26,42,6.3,Peas
Maharashtra,Rabi,21.5,170.0,62,30,48,6.4,Lentil
Maharashtra,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Maharashtra,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Maharashtra,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Maharashtra,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Maharashtra,Zaid,28.5,89.0,60,28,46,6.5,Okra
Gujarat,Kharif,32.0,780.0,88,42,62,6.7,Cotton
Gujarat,Kharif,30.5,740.0,65,34,50,6.6,Groundnut
Gujarat,Kharif,31.0,760.0,90,40,60,6.8,Rice
Gujarat,Kharif,31.5,720.0,82,38,58,6.6,Maize
Gujarat,Kharif,30.5,700.0,55,32,42,6.6,Bajra
Gujarat,Rabi,22.0,180.0,80,35,55,6.5,Wheat
Gujarat,Rabi,21.5,170.0,72,32,50,6.4,Barley
Gujarat,Rabi,21.0,160.0,60,28,45,6.3,Mustard
